xflr5 v6.48

Plane name :        Tailsitter
Polar name :        T1-18.0 m/s-VLM2-1.0kg-x0.0m
Freestream speed :  18.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.726041   0.047019   0.062822   0.109842  -0.000000   0.000000   0.232037   0.000000   0.000000   18.0000     0.0550
   -4.000     0.000  -0.667003   0.039651   0.050475   0.090126  -0.000000   0.000000   0.224408   0.000000   0.000000   18.0000     0.0578
   -3.000     0.000  -0.607471   0.032870   0.040856   0.073726  -0.000000   0.000000   0.216697   0.000000   0.000000   18.0000     0.0613
   -2.000     0.000  -0.547495   0.026694   0.034427   0.061121  -0.000000   0.000000   0.208916   0.000000   0.000000   18.0000     0.0655
   -1.000     0.000  -0.487127   0.021137   0.028453   0.049590  -0.000000   0.000000   0.201004   0.000000   0.000000   18.0000     0.0708
    0.000     0.000  -0.426416   0.016212   0.024395   0.040607  -0.000000   0.000000   0.192985   0.000000   0.000000   18.0000     0.0776
    1.000     0.000  -0.365417   0.011929   0.021051   0.032980  -0.000000   0.000000   0.184837   0.000000   0.000000   18.0000     0.0868
    2.000     0.000  -0.304181   0.008297   0.019051   0.027348  -0.000000   0.000000   0.176572   0.000000   0.000000   18.0000     0.0996
    3.000     0.000  -0.242761   0.005324   0.016405   0.021729  -0.000000   0.000000   0.168173   0.000000   0.000000   18.0000     0.1190
    4.000     0.000  -0.181211   0.003013   0.015844   0.018858  -0.000000   0.000000   0.159670  -0.000000   0.000000   18.0000     0.1516
    5.000     0.000  -0.119585   0.001368   0.016191   0.017559   0.000000   0.000000   0.151054   0.000000  -0.000000   18.0000     0.2177
    6.000     0.000  -0.057936   0.000389   0.017258   0.017648   0.000000   0.000000   0.142332   0.000000   0.000000   18.0000     0.4246
    7.000     0.000   0.003682   0.000076   0.018322   0.018397   0.000000  -0.000000   0.133510   0.000000  -0.000000   18.0000    -6.2882
    8.000     0.000   0.065216   0.000423   0.019302   0.019725   0.000000  -0.000000   0.124598   0.000000   0.000000   18.0000    -0.3328
    9.000     0.000   0.126612   0.001427   0.019716   0.021143   0.000000  -0.000000   0.115606  -0.000000   0.000000   18.0000    -0.1599
   10.000     0.000   0.187818   0.003080   0.019406   0.022485   0.000000  -0.000000   0.106558  -0.000000   0.000000   18.0000    -0.1000
   11.000     0.000   0.248781   0.005372   0.019021   0.024393   0.000000  -0.000000   0.097466  -0.000000  -0.000000   18.0000    -0.0696
   12.000     0.000   0.309450   0.008292   0.018759   0.027051   0.000000  -0.000000   0.088336  -0.000000  -0.000000   18.0000    -0.0512
   13.000     0.000   0.369772   0.011827   0.018561   0.030388   0.000000  -0.000000   0.079178  -0.000000  -0.000000   18.0000    -0.0388
   14.000     0.000   0.429698   0.015962   0.018339   0.034302   0.000000  -0.000000   0.070003  -0.000000  -0.000000   18.0000    -0.0300
   15.000     0.000   0.489179   0.020680   0.018266   0.038947   0.000000  -0.000000   0.060821  -0.000000  -0.000000   18.0000    -0.0233
   16.000     0.000   0.548165   0.025963   0.018311   0.044274   0.000000  -0.000000   0.051643   0.000000   0.000000   18.0000    -0.0180
   17.000     0.000   0.606610   0.031789   0.020073   0.051862   0.000000  -0.000000   0.042460   0.000000  -0.000000   18.0000    -0.0138
   18.000     0.000   0.664467   0.038137   0.023153   0.061290   0.000000  -0.000000   0.033260   0.000000  -0.000000   18.0000    -0.0104
   19.000     0.000   0.721692   0.044982   0.027837   0.072819   0.000000  -0.000000   0.024040   0.000000  -0.000000   18.0000    -0.0075
   20.000     0.000   0.778241   0.052301   0.036650   0.088951   0.000000  -0.000000   0.014731   0.000000   0.000000   18.0000    -0.0050


