xflr5 v6.48

Plane name :        Tailsitter
Polar name :        T1-18.0 m/s-VLM1-1.0kg-x0.0m
Freestream speed :  18.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.325173   0.009437   0.035090   0.044527   0.000000   0.000000   0.076857   0.000000  -0.000000   18.0000     0.0406
   -4.000     0.000  -0.263769   0.006289   0.030376   0.036664   0.000000   0.000000   0.068602   0.000000  -0.000000   18.0000     0.0446
   -3.000     0.000  -0.202140   0.003792   0.025656   0.029448   0.000000   0.000000   0.060275   0.000000  -0.000000   18.0000     0.0511
   -2.000     0.000  -0.140340   0.001954   0.021106   0.023061   0.000000   0.000000   0.051889   0.000000  -0.000000   18.0000     0.0633
   -1.000     0.000  -0.078421   0.000781   0.016847   0.017628   0.000000   0.000000   0.043451   0.000000  -0.000000   18.0000     0.0950
    0.000     0.000  -0.016439   0.000275   0.013758   0.014034   0.000000   0.000000   0.034967   0.000000   0.000000   18.0000     0.3654
    1.000     0.000   0.045555   0.000439   0.012245   0.012684   0.000000   0.000000   0.026437   0.000000   0.000000   18.0000    -0.1001
    2.000     0.000   0.107504   0.001271   0.011386   0.012657   0.000000   0.000000   0.017866   0.000000   0.000000   18.0000    -0.0290
    3.000     0.000   0.169356   0.002769   0.010838   0.013607   0.000000   0.000000   0.009262   0.000000   0.000000   18.0000    -0.0099
    4.000     0.000   0.231058   0.004927   0.010875   0.015802   0.000000   0.000000   0.000628  -0.000000   0.000000   18.0000    -0.0010
    5.000     0.000   0.292555   0.007740   0.012053   0.019793   0.000000   0.000000  -0.008035  -0.000000   0.000000   18.0000     0.0042
    6.000     0.000   0.353795   0.011198   0.012540   0.023738   0.000000   0.000000  -0.016700   0.000000   0.000000   18.0000     0.0076
    7.000     0.000   0.414725   0.015291   0.012705   0.027996   0.000000   0.000000  -0.025357   0.000000   0.000000   18.0000     0.0099
    8.000     0.000   0.475295   0.020006   0.012921   0.032927   0.000000   0.000000  -0.034000   0.000000   0.000000   18.0000     0.0117
    9.000     0.000   0.535452   0.025328   0.013163   0.038492   0.000000   0.000000  -0.042619   0.000000   0.000000   18.0000     0.0131
   10.000     0.000   0.595147   0.031242   0.013473   0.044714   0.000000   0.000000  -0.051204   0.000000   0.000000   18.0000     0.0142
   11.000     0.000   0.654331   0.037728   0.013829   0.051557   0.000000   0.000000  -0.059744   0.000000   0.000000   18.0000     0.0151
   12.000     0.000   0.712956   0.044766   0.014246   0.059013   0.000000   0.000000  -0.068231   0.000000   0.000000   18.0000     0.0159
   13.000     0.000   0.770975   0.052336   0.014613   0.066949   0.000000   0.000000  -0.076651  -0.000000   0.000000   18.0000     0.0165
   14.000     0.000   0.828342   0.060413   0.014971   0.075384   0.000000   0.000000  -0.084994   0.000000   0.000000   18.0000     0.0171
   15.000     0.000   0.885012   0.068973   0.016872   0.085845   0.000000   0.000000  -0.093293  -0.000000   0.000000   18.0000     0.0176
   16.000     0.000   0.940944   0.077988   0.019497   0.097485   0.000000   0.000000  -0.101521  -0.000000   0.000000   18.0000     0.0181
   17.000     0.000   0.996096   0.087432   0.029285   0.116717   0.000000   0.000000  -0.109944   0.000000   0.000000   18.0000     0.0185


