xflr5 v6.48

Plane name :        Tailsitter
Polar name :        T1-18.0 m/s-VLM1-1.0kg-x0.0m
Freestream speed :  18.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    4.000     0.000   0.904719   0.072698   0.022800   0.095498   0.000000   0.000000  -0.270920  -0.000000  -0.000000   18.0000     0.0512
    5.000     0.000   0.964837   0.082793   0.021013   0.103806   0.000000   0.000000  -0.279761   0.000000   0.000000   18.0000     0.0496
    6.000     0.000   1.024237   0.093446   0.019080   0.112526   0.000000   0.000000  -0.288422  -0.000000  -0.000000   18.0000     0.0482
    7.000     0.000   1.082870   0.104632   0.017715   0.122346   0.000000   0.000000  -0.296916   0.000000   0.000000   18.0000     0.0470
    8.000     0.000   1.140690   0.116322   0.017412   0.133734   0.000000   0.000000  -0.305252   0.000000  -0.000000   18.0000     0.0459
    9.000     0.000   1.197652   0.128487   0.018294   0.146782   0.000000   0.000000  -0.313432   0.000000  -0.000000   18.0000     0.0450
   10.000     0.000   1.253712   0.141096   0.019886   0.160983   0.000000   0.000000  -0.321435   0.000000   0.000000   18.0000     0.0441
   11.000     0.000   1.308829   0.154117   0.042564   0.196680   0.000000  -0.000000  -0.330169   0.000000   0.000000   18.0000     0.0434


