xflr5 v6.48

Plane name :        Tailsitter
Polar name :        T1-18.0 m/s-VLM1-1.0kg-x0.0m
Freestream speed :  18.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    2.000     0.000   0.559038   0.027877   0.016362   0.044239   0.000000   0.000000  -0.163243  -0.000000  -0.000000   18.0000     0.0500
    3.000     0.000   0.620957   0.034352   0.015509   0.049861   0.000000   0.000000  -0.172344  -0.000000  -0.000000   18.0000     0.0475
    4.000     0.000   0.682410   0.041465   0.014592   0.056057   0.000000   0.000000  -0.181349  -0.000000  -0.000000   18.0000     0.0454
    5.000     0.000   0.743347   0.049197   0.013356   0.062553   0.000000   0.000000  -0.190243   0.000000   0.000000   18.0000     0.0438
    6.000     0.000   0.803716   0.057530   0.013050   0.070580   0.000000   0.000000  -0.199044  -0.000000  -0.000000   18.0000     0.0423
    7.000     0.000   0.863466   0.066442   0.013372   0.079814   0.000000   0.000000  -0.207738   0.000000   0.000000   18.0000     0.0412
    8.000     0.000   0.922549   0.075911   0.013844   0.089755   0.000000   0.000000  -0.216308   0.000000   0.000000   18.0000     0.0401
    9.000     0.000   0.980917   0.085910   0.014395   0.100305   0.000000  -0.000000  -0.224741   0.000000  -0.000000   18.0000     0.0393
   10.000     0.000   1.038525   0.096415   0.015023   0.111437   0.000000   0.000000  -0.233028  -0.000000  -0.000000   18.0000     0.0385
   11.000     0.000   1.095326   0.107396   0.015752   0.123148   0.000000  -0.000000  -0.241159   0.000000   0.000000   18.0000     0.0378
   12.000     0.000   1.151278   0.118824   0.017265   0.136089   0.000000   0.000000  -0.249152   0.000000   0.000000   18.0000     0.0372
   13.000     0.000   1.206340   0.130668   0.031901   0.162570   0.000000  -0.000000  -0.257521  -0.000000  -0.000000   18.0000     0.0367


