xflr5 v6.48

Plane name :        Tailsitter
Polar name :        T1-18.0 m/s-VLM2-1.0kg-x0.0m
Freestream speed :  18.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -3.000     0.000  -0.813954   0.059089   0.053857   0.112946  -0.000000   0.000000   0.297027   0.000000   0.000000   18.0000     0.0626
   -2.000     0.000  -0.755127   0.050791   0.044941   0.095732  -0.000000   0.000000   0.289565   0.000000   0.000000   18.0000     0.0658
   -1.000     0.000  -0.695770   0.043075   0.040642   0.083717  -0.000000   0.000000   0.282023   0.000000   0.000000   18.0000     0.0695
    0.000     0.000  -0.635933   0.035958   0.036506   0.072464  -0.000000   0.000000   0.274291   0.000000   0.000000   18.0000     0.0739
    1.000     0.000  -0.575665   0.029456   0.032393   0.061849  -0.000000   0.000000   0.266376   0.000000   0.000000   18.0000     0.0793
    2.000     0.000  -0.515019   0.023583   0.028374   0.051957  -0.000000   0.000000   0.258286   0.000000   0.000000   18.0000     0.0859
    3.000     0.000  -0.454047   0.018349   0.024643   0.042992  -0.000000   0.000000   0.250032   0.000000   0.000000   18.0000     0.0944
    4.000     0.000  -0.392801   0.013765   0.020251   0.034016  -0.000000   0.000000   0.241603   0.000000   0.000000   18.0000     0.1056
    5.000     0.000  -0.331335   0.009837   0.020480   0.030318  -0.000000   0.000000   0.233070   0.000000   0.000000   18.0000     0.1209
    6.000     0.000  -0.269702   0.006572   0.021151   0.027724  -0.000000   0.000000   0.224379   0.000000   0.000000   18.0000     0.1433
    7.000     0.000  -0.207955   0.003973   0.022065   0.026038  -0.000000   0.000000   0.215540   0.000000   0.000000   18.0000     0.1789
    8.000     0.000  -0.146149   0.002042   0.023006   0.025048  -0.000000   0.000000   0.206564   0.000000   0.000000   18.0000     0.2447
    9.000     0.000  -0.084337   0.000778   0.023944   0.024721  -0.000000   0.000000   0.197459   0.000000   0.000000   18.0000     0.4067
   10.000     0.000  -0.022573   0.000178   0.024877   0.025054  -0.000000   0.000000   0.188236   0.000000   0.000000   18.0000     1.4544
   11.000     0.000   0.039089   0.000238   0.025805   0.026042  -0.000000  -0.000000   0.178906   0.000000   0.000000   18.0000    -0.8020
   12.000     0.000   0.100597   0.000951   0.026176   0.027127   0.000000  -0.000000   0.169472   0.000000   0.000000   18.0000    -0.2969
   13.000     0.000   0.161897   0.002309   0.026899   0.029208   0.000000  -0.000000   0.159963   0.000000   0.000000   18.0000    -0.1752
   14.000     0.000   0.222938   0.004301   0.027299   0.031600   0.000000  -0.000000   0.150385   0.000000   0.000000   18.0000    -0.1205
   15.000     0.000   0.283668   0.006915   0.027404   0.034319   0.000000  -0.000000   0.140754  -0.000000   0.000000   18.0000    -0.0894
   16.000     0.000   0.344035   0.010136   0.026648   0.036783   0.000000  -0.000000   0.131078  -0.000000  -0.000000   18.0000    -0.0693
   17.000     0.000   0.403991   0.013948   0.027246   0.041194   0.000000  -0.000000   0.121376  -0.000000  -0.000000   18.0000    -0.0552
   18.000     0.000   0.463487   0.018333   0.027929   0.046261   0.000000  -0.000000   0.111655  -0.000000  -0.000000   18.0000    -0.0448
   19.000     0.000   0.522473   0.023271   0.029795   0.053066   0.000000  -0.000000   0.101922  -0.000000  -0.000000   18.0000    -0.0368
   20.000     0.000   0.580904   0.028741   0.035239   0.063980   0.000000  -0.000000   0.092199  -0.000000  -0.000000   18.0000    -0.0304


